Item ARK,Parent ARK,Object Type,Title,Item Sequence,File Name,AltTitle.other,Thumbnail,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal,viewingHint,Contributor,IIIF Manifest URL
ark:/21198/z13b7s7k,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,House & Garden Designs,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv6dhw,Ephemera Collection,,1973,1973,13.1939,59.5432,Brochure about goods offered by the House & Garden Designs company.,21.5 x 30.5 cm,3 pages,,Brochure|~|Advertisements,,Collection C319|~|Box D-F,House & Garden Designs,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Garden design,Saint George (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13b7s7k/manifest
ark:/21198/z13b7s81,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Laymen's League - Commemoration Lecture of Rev. James Young Edghill,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12f9jj6,Ephemera Collection,,"November 13, 2003",2003-11-13,13.1939,59.5432,"Invitation and program for a lecture commemorating the Rev. James Young Edghill. The lecture was delivered by Prof. Henry Fraser at the Sharon Moravian Church in St. Thomas on November 13, 2003.",21.6 cm x 14 cm,4 pages,,Invitations|~|Event programs|~|Lectures,,Collection C319|~|Box KQ|~|Folder 2,Moravian Church,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Lectures|~|Memorial services|~|Commemorations,Saint Thomas (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13b7s81/manifest
ark:/21198/z13f6gnw,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Recital of Music at St. Mary's Church,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v71f6h,Ephemera Collection,,"September 21, 1960",1960-09-21,13.1939,59.5432,Recital of music by the Barbados Police Band and Soloists.,16.4 cm x 10.8 cm,3 pages,,programs (documents)|~|concert programs,,Collection C319|~|Box C-Ch,St. Mary's Church,,,Barbados,,Barbados Department of Archives,,public domain,Barbados Department of Archives,,Church|~|Arts and culture--Music|~|Concerts|~|Police|~|Police-community relations,Saint Michael (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13f6gnw/manifest
ark:/21198/z13f6gpb,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"Women in Action 1976 Planning Document: ""Yesterday, Today, Tomorrow""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq20tq,Ephemera Collection,,"November 6, 1976",1976-11-06,13.1939,59.5432,"Booklet for the fundraising event by ""Women in Action,"" with proceeds going to children's charity. The booklet contains the agenda of the event, names of council members, associate members, etc. The event was held in November 1976.",21.6 cm x 13.9 cm,4 pages,,Program booklets|~|Event programs,,Collection C321|~|Box GHI|~|Folder 14,International Women's Year Steering Committee,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Charity|~|Contributions to charity|~|Charities|~|Children--charities|~|Fundraising,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13f6gpb/manifest
ark:/21198/z13f6gqs,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,St Michael's Cathedral: Guided Tours,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418tbx,Ephemera Collection,,Between 1990 and 1995,1990/1995,13.1939,59.5432,Brochure containing information on guided tours of St. Michael's Cathedral.,22.8 cm x 10.1 cm,4 pages,,brochures,,Collection C320|~|Box RS|~|Folder 3,St. Michael's Cathedral,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Tourist guides,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13f6gqs/manifest
ark:/21198/z13f6gr7,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Ceremony of the Formal Opening of the Assembly Hall of the UWI Extra-Mural Center,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn26fn,Ephemera Collection,,"January 31, 1963",1963-01-31,13.1939,59.5432,"Booklet for the ceremony for the formal opening of the Assembly Hall of the Extra-Mural Centre at the University of West Indies by Princess Alice, Countess of Athlone, Chancellor of the University of the West Indies. The event took place on January 31, 1963 at the Pine.",20.3 cm x 13.5 cm,7 pages,,programs (documents)|~|booklets,,Collection C320|~|Box UY|~|Folder 2,"University of the West Indies (Cave Hill, Barbados)",,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,University of the West Indies. Department of Extra-mural Studies,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13f6gr7/manifest
ark:/21198/z13j55xd,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Library Week 2001,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg9jxf,Ephemera Collection,,2001,2001,13.1939,59.5432,"Library Week 2001 held from September 29 to October 6, 2001. Contains program of events for the week.",43.3 cm x 28 cm,1 page,,posters,,Collection C319|~|Box A-B|~|Folder 4,Barbados Library Association,,,Barbados,Barbados Library Association,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Library|~|Events|~|Library outreach programs,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13j55xd/manifest
ark:/21198/z13j55zv,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Drama Workshop 1970: An Evening of Dance and Drama,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x94717,Ephemera Collection,,August 1970,1970-08,13.1939,59.5432,"Booklet presenting the dance and drama performances, the performers, the lecturers for the workshop, and the people involved in organizing the event. The workshop was held from August 29th to 30th at the Combermere School hall, Waterford, St. Michael.",16.5 x 21.5 cm,7 pages,,Program booklets|~|Dance programs|~|Drama,,Collection C319|~|Box D-F,Barbados Arts Council|~|Combermere School|~|,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Dance festivals|~|Drama,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13j55zv/manifest
ark:/21198/z13j560q,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Dinner at Government House - Invitation,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17961wh,Ephemera Collection,,"February 18, 1975",1975-02-18,13.1939,59.5432,"Blank invitation to a dinner at the Government House on February 18, 1975, on the occasion of the visit of Queen Elizabeth and the Duke of Edinburgh.",15.2 cm x 20.3 cm,2 pages,,Invitations,,Collection C319|~|Box KQ|~|Folder 20,Government of Barbados,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Visits of state|~|Royal visits|~|Dinners and dining|~|Invitations,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13j560q/manifest
ark:/21198/z13n3wf3,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""Special Brew for a Special Occasion""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1059bbn,Ephemera Collection,,2006,2006,13.1939,59.5432,"Promotional material celebrating the 40th Year of Independence of Barbados in 2006 with the first ale from Banks Breweries. Cut-out in the shape of a beer bottle. Contains info about the 1966 Amber ale, such as colour, taste, and hops. Banks (Barbados) Breweries was opened in Barbados on September 6, 1961. It was founded by Guyanese businessman Peter Stanislaus D'Aguiar.",27 cm x 7.5 cm,3 pages,,advertisements,,Collection C319|~|Box A-B|~|Folder 1,Banks Barbados Breweries,,,Barbados,Banks Barbados Breweries,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Beer|~|Beer industry|~|Beer bottles|~|Advertisements,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13n3wf3/manifest
ark:/21198/z13n3wgj,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"James Street Methodist Church: Friday 29th March, 1991",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m9255n,Ephemera Collection,,"March 29, 1991",1991-03-29,13.1939,59.5432,"Program for a Good Friday service held at the James Street Methodist Church Mar 29, 1991 by Rev. Patterson. A. Deane, M. Div. Superintendent Minister.",21.6 cm x 14 cm,2 pages,,programs (documents),,Collection C319|~|Box C-Ch,James Street Methodist Church,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Methodism|~|Church services|~|Methodist Church--Education,Saint Michael (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13n3wgj/manifest
ark:/21198/z13n3wh0,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Bajan Table '69,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp12f1,Ephemera Collection,,October 1969,1969-10-01,13.1939,59.5432,Program of events for the Bajan Table '69 under the Distinguished Patronage of The Right Honourable E.W. Barrow and Mrs. Barrow held at the Hilton Hotel in Barbados and arranged by The Barbados Hotel Association and The Barbados Hotel School.,21.2 cm x 14.5 cm,24 pages,,programs (documents),,Box Ci-Cz|~|Folder 6,Barbados Hotel Association|~|Barbados Hotel School,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Events|~|Cooking|~|Hospitality industry,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13n3wh0/manifest
ark:/21198/z13n3wjf,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,1974 Ceremony for the Presentation of Graduates at the Cave Hill Campus,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57jfx,Ephemera Collection,,"November 26, 1974",1974-11-26,13.1939,59.5432,"Booklet with program and information for the graduation ceremony at the University of West Indies, Cave Hill campus, Barbados. Contains names of the faculty and students. The event took place on November 26, 1974.",22.8 cm x 15.2 cm,14 pages,,Program booklets|~|Event programs,,Collection C319|~|Box GHI|~|Folder 10,"University of the West Indies (Cave Hill, Barbados)",,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,School graduation|~|Commencements|~|Graduation ceremonies,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13n3wjf/manifest
ark:/21198/z13n3wkw,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""A Flea in Her Ear""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418tjm,Ephemera Collection,,1987,1987,13.1939,59.5432,"Booklet with the program and cast information for the play ""A Flea in Her Ear"" by George Feydeau, presented by the Barbados Players' Green Room Theatre Club at the Combermere School in 1987.",27.3 cm x 21.3 cm,10 pages,,theater programs|~|booklets,,Collection C320|~|Box T|~|Folder 8,Barbados Players Green Room Theatre Club,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Theater|~|Drama,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13n3wkw/manifest
ark:/21198/z13r2kvd,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,May Day 1967 Barbados Workers' Union Thanksgiving Service,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp91g8,Ephemera Collection,,"May 1, 1967",1967-05-01,13.1939,59.5432,"Barbados Workers' Union Thanksgiving Service for May 1st 1967. The event included an address made by the Reverend Donald Moore, L. Th., at St. Ambrose Church that was attended by the Governor General, Sir John Stow, and Lady Stow. The Barbados Workers' Union is a trade union that was established in Barbados in 1941.",18.3 cm x 12.4 cm,8 pages,,programs (documents)|~|booklets,,Collection C319|~|Box C-Ch,Barbados Workers' Union,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Anniversaries|~|Government employees|~|Labor unions|~|Church services,Saint Michael (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13r2kvd/manifest
ark:/21198/z13r2kwv,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,1974 Harrison College Speech Day and Prize Giving,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h14xz4,Ephemera Collection,,"December 5, 1974",1974-12-05,13.1939,59.5432,"Booklet with program and details for Harrison College's annual Speech Day and prize-giving on December 5, 1974. Contains the schedule and names of staff and students. The event was attended by the Governor-General Sir Winston Scott, who presented the prizes.",18.9 cm x 15.7 cm,7 pages,,Program booklets|~|Event programs,,Collection C319|~|Box GHI|~|Folder 5,Harrison College,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Speeches|~|School orations|~|Awards and Prizes|~|Awards ceremonies|~|Barbados,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13r2kwv/manifest
ark:/21198/z13r2kx9,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"Queen's College Presents a Christmas Show: ""Tang '76""",,,Queen's College,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2hg8,Ephemera Collection,,December 1976,1976-12,13.1939,59.5432,"Booklet with program and information about a Christmas show of music, dance, and gymnastics organized by the Queen's College in December 1976. The booklet also includes the lyrics of songs performed.",21.7 cm x 17.7 cm,18 pages,,Program booklets|~|Theater programs|~|Christmas plays,,Collection C319|~|Box KQ|~|Folder 14,Queen's College,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Theater|~|College theatricals|~|Christmas plays,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13r2kx9/manifest
ark:/21198/z13r2kzr,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Double Bill of Comedy,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h3fz9,Ephemera Collection,,April 1971,1971-04,13.1939,59.5432,"Booklet with the program and cast information for performance by the Barbados Players' Green Room Theatre Club that included two comedies: ""Strictly Matrimony"" by Errol Hill and ""The Apollo de Bellac"" by Jean Giraudoux. The performance took place at St. Winifred's Hall on April 13-17, 1971.",22.1 cm x 17.2 cm,3 pages,,theater programs|~|booklets,,Collection C320|~|Box T|~|Folder 6,Barbados Players Green Room Theatre Club,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Theater|~|Drama,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13r2kzr/manifest
ark:/21198/z13v1967,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Caribbean Community Secretariat - Regional Meeting of Cultural Experts,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh4ks0,Ephemera Collection,,September 1978,1978-09-01,13.1939,59.5432,"The opening session of the Regional Meeting of Cultural Experts was held in Barbados on September 4-8, 1978.",21.5 cm x 16.2 cm,2 pages,,programs (documents),,Box Ci-Cz|~|Folder 3,Caribbean Community Secretariat,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Congresses and conventions|~|Associations, institutions, etc.",,20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13v1967/manifest
ark:/21198/z13v197p,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,National Union of Public Workers Biannual General Meeting of the Professional and Administrative Officers Division,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb703c,Ephemera Collection,,"June 24, 1996",1996-06-24,13.1939,59.5432,"Promotional flyer inviting all professional and senior administrative officers to the biannual general meeting of the Professional and Administrative Officers Division that was held on June 24, 1996, at the NUPW Headquarters, Dalkeith Road, St. Michael.",27.9 cm x 21.6 cm,2 pages,,Fliers|~|Promotional materials,,Collection C319|~|Box KQ|~|Folder 11,National Union of Public Workers,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Administrative agencies--Public meetings|~|Labor unions|~|Public employees|~|Civil service--labor unions,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13v197p/manifest
ark:/21198/z13z00pf,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,A-Z of Barbados Heritage Book Launch Invitation,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm38vt,Ephemera Collection,,"November 20, 2003",2003-11-20,13.1939,59.5432,"Invitation from Macmillan Caribbean to the launch of A-Z of Barbados Heritage held at the Main Guard, the Garrison, St. Michael. This book covers every aspect of Barbadian history, geography, culture and society.",10.7 cm x 14 cm,1 page,,invitations|~|brochures,,Collection C319|~|Box A-B|~|Folder 15,Macmillan Caribbean,,,Barbados,Macmillan Caribbean,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Books|~|Barbados|~|Culture,Saint Michael (Barbados),21st Century,paged,Macmillan Caribbean,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13z00pf/manifest
